RawTimestamp,Open,High,Low,Close,Volume
1751616000,25363.5,25376.9,25362.6,25372.25,1603223
1751616300,25372.9,25381.1,25372,25372,2310496
1751616600,25372.5,25378.3,25369.9,25372.7,1280961
1751616900,25372.25,25376.45,25365.8,25372.25,1549380
1751617200,25372,25380.75,25371.35,25373.4,1687570
1751617500,25373.6,25387.25,25366.1,25384.05,1801337
1751617800,25383.95,25388.7,25366.2,25374.9,1611243
1751618100,25375.1,25385.2,25374.05,25382.55,1541376
1751618400,25382.65,25388.4,25379.35,25384.3,1758599
1751618700,25384.2,25385.85,25376.85,25383.3,1542144
1751619000,25382.8,25386.4,25373.5,25385.3,2107329
1751619300,25385.5,25391.8,25383.15,25389.25,2335132
1751619600,25387.45,25398,25385.75,25396.9,2584138
1751619900,25397,25450.6,25396.05,25433.45,7661751
1751620200,25433,25454.55,25433,25454.55,2979952
1751620500,25453.75,25463.35,25443.15,25449.95,2491113
1751620800,25449.7,25450.9,25438.85,25445.3,1835836
1751621100,25445.75,25454.65,25442.75,25453.65,2577165
1751621400,25453.25,25461.35,25452.4,25460.1,3412573
1751621700,25461.35,25464.9,25454.35,25463.05,4302670
1751622000,25463.75,25466.7,25458.55,25462.8,4855474
1751622300,25462.5,25464.2,25449.3,25457.15,6013108
1751622600,25457.1,25465.1,25453.65,25464.6,5267248
1751622900,25462.8,25470.25,25459.15,25467.8,5279923
1751859900,25450.45,25470.5,25407.25,25447.35,8983273
1751860200,25445.2,25480.9,25443.2,25449.95,4218115
1751860500,25450.7,25452.75,25433.7,25439.9,3440230
1751860800,25441.4,25480.5,25439.8,25478,4555279
1751861100,25478.2,25489.8,25470.45,25479.65,2797027
1751861400,25479.45,25480.85,25446.7,25451.9,3483191
1751861700,25451.8,25452.95,25440.95,25446.65,2598669
1751862000,25446.8,25466.6,25438.9,25465.65,2090403
1751862300,25465.95,25473.3,25459,25462.1,1703350
1751862600,25461.5,25469.3,25457.2,25457.35,2007688
1751862900,25457.65,25457.75,25417.05,25422,2280635
